                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                  1.115,                 1.3437,                 1.3868,                0.69371,                0.42775,                0.54292,                0.29958,                 1.6111,                 1.7159,                 1.7848,               0.001296,               0.001296,               0.001296
                     34,                 1.0642,                 1.2829,                 1.3785,                0.59154,                0.55106,                0.55248,                 0.3053,                 1.6207,                 1.6878,                 1.7731,               0.001274,               0.001274,               0.001274
                     35,                 1.0574,                 1.2955,                 1.3613,                0.73557,                0.54335,                0.62766,                0.35902,                 1.5421,                 1.4716,                 1.6962,               0.001252,               0.001252,               0.001252
                     36,                 1.0779,                 1.2833,                 1.3504,                0.66944,                0.58532,                0.61251,                0.32856,                  1.572,                 1.4975,                 1.7261,                0.00123,                0.00123,                0.00123
                     37,                  1.091,                 1.3333,                 1.3757,                0.71524,                0.52751,                0.61239,                0.35126,                 1.6045,                 1.5908,                 1.7582,               0.001208,               0.001208,               0.001208
                     38,                 1.0728,                 1.2847,                  1.362,                0.64933,                0.56647,                0.59187,                0.34073,                 1.5247,                 1.4535,                 1.7071,               0.001186,               0.001186,               0.001186
                     39,                 1.0353,                 1.2285,                 1.3494,                0.69561,                0.55479,                0.59558,                0.31406,                 1.5939,                 1.5114,                 1.7961,               0.001164,               0.001164,               0.001164
                     40,                 1.0486,                 1.2784,                 1.3282,                0.63062,                0.58189,                0.62317,                0.37196,                 1.4962,                 1.4163,                 1.6809,               0.001142,               0.001142,               0.001142
                     41,                 1.0715,                 1.2777,                 1.3644,                0.72106,                0.54913,                0.62249,                0.35551,                 1.5674,                 1.4926,                 1.7532,                0.00112,                0.00112,                0.00112
                     42,                 1.0019,                 1.2235,                 1.3099,                0.62981,                0.57367,                 0.6152,                0.35184,                 1.5271,                  1.467,                  1.722,               0.001098,               0.001098,               0.001098
                     43,                0.98515,                 1.1363,                 1.3055,                0.63087,                0.57996,                0.61891,                  0.351,                 1.6212,                 1.5011,                 1.7975,               0.001076,               0.001076,               0.001076
                     44,                 1.0334,                 1.2194,                  1.359,                0.70867,                0.57182,                0.62813,                0.37124,                 1.5614,                  1.452,                 1.7213,               0.001054,               0.001054,               0.001054
                     45,                 1.0267,                 1.1954,                 1.3391,                0.67841,                0.60694,                0.63028,                0.36174,                 1.5001,                 1.4006,                 1.6619,               0.001032,               0.001032,               0.001032
                     46,                0.99304,                  1.185,                 1.3007,                 0.6622,                0.59538,                0.64398,                0.36931,                 1.5434,                 1.4163,                 1.7528,                0.00101,                0.00101,                0.00101
                     47,                0.96325,                 1.1383,                 1.2848,                0.65897,                0.62175,                0.62991,                0.34918,                 1.5522,                 1.4352,                 1.7508,               0.000988,               0.000988,               0.000988
                     48,                0.96515,                 1.1167,                 1.2884,                 0.7394,                0.57996,                0.66687,                0.37873,                 1.5402,                 1.3795,                 1.7323,               0.000966,               0.000966,               0.000966
                     49,                0.96317,                 1.1201,                 1.3039,                0.65235,                0.55106,                0.61124,                0.37513,                 1.4929,                 1.4658,                  1.702,               0.000944,               0.000944,               0.000944
                     50,                0.96959,                 1.1114,                 1.2796,                 0.7013,                0.56069,                0.63435,                0.37031,                 1.5585,                 1.4707,                 1.7092,               0.000922,               0.000922,               0.000922
                     51,                0.93963,                 1.0277,                 1.2685,                0.73052,                0.55684,                0.65178,                0.38538,                 1.4878,                 1.3863,                 1.6696,                 0.0009,                 0.0009,                 0.0009
                     52,                0.92805,                 1.0492,                 1.2589,                0.76308,                0.52794,                0.65585,                0.38877,                  1.511,                 1.4242,                 1.6629,               0.000878,               0.000878,               0.000878
                     53,                0.90388,                 1.0433,                 1.2376,                0.73387,                0.55258,                0.63929,                0.36431,                 1.5095,                 1.3793,                  1.677,               0.000856,               0.000856,               0.000856
                     54,                0.94723,                 1.0728,                 1.2693,                 0.6977,                0.60308,                0.66547,                0.40334,                 1.4275,                 1.3199,                 1.6205,               0.000834,               0.000834,               0.000834
                     55,                0.88111,                 1.0319,                 1.2253,                0.71655,                0.57962,                0.64691,                0.37163,                  1.548,                 1.4052,                 1.7059,               0.000812,               0.000812,               0.000812
                     56,                0.91297,                 1.0152,                 1.2399,                0.75664,                 0.5811,                0.66252,                0.38589,                 1.4944,                 1.3128,                 1.6752,                0.00079,                0.00079,                0.00079
                     57,                0.88624,                0.97488,                 1.2263,                0.73972,                0.57803,                 0.6717,                0.39682,                 1.4905,                 1.3084,                 1.6797,               0.000768,               0.000768,               0.000768
                     58,                0.86451,                0.96884,                 1.2059,                0.71219,                0.56647,                0.63268,                0.36263,                 1.5141,                 1.4088,                 1.7001,               0.000746,               0.000746,               0.000746
                     59,                0.86889,                0.94296,                 1.2193,                0.74712,                0.57033,                0.65701,                0.39619,                 1.5448,                 1.4983,                 1.7066,               0.000724,               0.000724,               0.000724
                     60,                0.88344,                0.96846,                 1.2418,                0.72797,                0.53624,                0.62052,                 0.3533,                 1.5496,                 1.3953,                 1.7506,               0.000702,               0.000702,               0.000702
                     61,                0.82746,                0.92813,                 1.1921,                 0.7222,                0.54143,                0.62505,                0.35724,                 1.5148,                 1.3613,                 1.6946,                0.00068,                0.00068,                0.00068
                     62,                0.88961,                 1.0125,                 1.2327,                0.69753,                0.61079,                0.64282,                0.36776,                 1.5511,                  1.418,                 1.7581,               0.000658,               0.000658,               0.000658
                     63,                 0.8607,                0.93645,                  1.212,                0.74276,                0.53372,                0.60847,                0.34195,                 1.5969,                 1.4348,                 1.7809,               0.000636,               0.000636,               0.000636
                     64,                0.87698,                0.95465,                 1.2045,                0.75929,                0.56523,                0.65431,                0.38008,                 1.5153,                  1.378,                 1.6944,               0.000614,               0.000614,               0.000614
                     65,                0.84335,                0.93963,                 1.1998,                0.71538,                 0.5684,                0.61027,                0.35096,                 1.5491,                 1.4081,                 1.7327,               0.000592,               0.000592,               0.000592
                     66,                  0.834,                0.94938,                 1.1743,                0.69693,                0.59345,                0.65761,                0.38536,                 1.5304,                 1.3604,                 1.7039,                0.00057,                0.00057,                0.00057
                     67,                0.80902,                0.87198,                 1.1712,                0.68805,                 0.5684,                0.62501,                0.37361,                 1.5088,                 1.4007,                 1.6759,               0.000548,               0.000548,               0.000548
                     68,                 0.8182,                0.84314,                 1.1837,                0.76601,                0.58767,                0.66829,                0.39843,                  1.525,                  1.361,                  1.693,               0.000526,               0.000526,               0.000526
                     69,                0.81232,                0.82626,                 1.1785,                0.77765,                 0.5973,                0.68893,                0.38773,                 1.5284,                 1.2848,                 1.6892,               0.000504,               0.000504,               0.000504
                     70,                0.81596,                0.84478,                  1.178,                0.73026,                0.56647,                0.63796,                0.36529,                 1.5588,                 1.3932,                 1.7152,               0.000482,               0.000482,               0.000482
                     71,                0.77623,                0.81269,                 1.1487,                0.76107,                0.60116,                0.65348,                0.38679,                 1.5103,                 1.3973,                 1.6798,                0.00046,                0.00046,                0.00046
                     72,                0.80979,                0.85507,                 1.1641,                0.74135,                0.56262,                   0.65,                0.38402,                 1.4924,                 1.3366,                 1.6573,               0.000438,               0.000438,               0.000438
                     73,                0.79677,                0.84802,                 1.1641,                0.73332,                 0.5183,                0.59737,                0.34931,                 1.5155,                  1.403,                 1.7073,               0.000416,               0.000416,               0.000416
                     74,                0.77864,                0.82448,                 1.1482,                0.73518,                0.57418,                0.64343,                0.37551,                 1.5196,                 1.3588,                 1.6939,               0.000394,               0.000394,               0.000394
                     75,                0.76715,                0.80518,                 1.1388,                0.74633,                0.56069,                0.63689,                0.37434,                   1.54,                 1.4118,                  1.725,               0.000372,               0.000372,               0.000372
                     76,                 0.7631,                 0.8347,                 1.1312,                 0.7267,                0.60966,                0.66079,                0.39659,                 1.4943,                 1.3964,                 1.6693,                0.00035,                0.00035,                0.00035
                     77,                0.72772,                0.75626,                 1.1233,                0.76059,                0.54143,                0.61883,                0.35937,                 1.5286,                 1.4466,                 1.6915,               0.000328,               0.000328,               0.000328
                     78,                0.73309,                0.77377,                 1.1268,                0.74995,                0.57611,                0.64224,                0.37469,                 1.4997,                 1.4276,                 1.6679,               0.000306,               0.000306,               0.000306
                     79,                0.71536,                0.71804,                 1.1069,                0.70964,                0.59538,                0.65427,                0.39839,                 1.4926,                 1.4512,                 1.6658,               0.000284,               0.000284,               0.000284
                     80,                0.65954,                0.73267,                  1.081,                 0.7248,                0.56262,                0.61769,                0.36003,                 1.5171,                 1.4926,                 1.6972,               0.000262,               0.000262,               0.000262
                     81,                 0.6517,                0.60505,                  1.048,                0.69759,                0.60886,                0.65325,                0.37654,                 1.4913,                  1.328,                 1.7042,                0.00024,                0.00024,                0.00024
                     82,                0.62416,                0.57507,                 1.0342,                0.75444,                0.60116,                0.66783,                0.37338,                 1.5098,                 1.3795,                 1.7058,               0.000218,               0.000218,               0.000218
                     83,                0.61788,                0.60427,                 1.0344,                0.72733,                0.61675,                0.66109,                0.38776,                 1.5069,                 1.3889,                 1.7091,               0.000196,               0.000196,               0.000196
                     84,                0.60837,                0.57057,                 1.0418,                0.71507,                0.61411,                0.65634,                0.38521,                 1.4886,                 1.3644,                 1.6839,               0.000174,               0.000174,               0.000174
                     85,                0.58328,                0.54867,                 1.0191,                0.77314,                0.57803,                0.66154,                0.39686,                 1.4597,                 1.4069,                 1.6537,               0.000152,               0.000152,               0.000152
                     86,                0.59291,                0.52927,                 1.0371,                0.77348,                0.56069,                0.64725,                0.38506,                 1.4664,                 1.4148,                 1.6588,                0.00013,                0.00013,                0.00013
                     87,                0.59303,                0.53041,                 1.0339,                0.72897,                0.57996,                0.64709,                0.38345,                 1.4782,                 1.4111,                 1.6679,               0.000108,               0.000108,               0.000108
                     88,                 0.5734,                0.52162,                 1.0048,                0.73284,                0.58139,                0.65072,                0.38377,                 1.4806,                 1.3794,                 1.6785,                8.6e-05,                8.6e-05,                8.6e-05
                     89,                0.55404,                0.53187,                  0.993,                0.75841,                0.55491,                0.62953,                0.37668,                 1.4927,                 1.5256,                 1.6796,                6.4e-05,                6.4e-05,                6.4e-05
