                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3849,                 2.9013,                 1.5657,                 0.2755,                0.27938,                0.22638,                0.09816,                 1.8857,                 4.2205,                 2.1432,             0.00065909,             0.00065909,             0.00065909
                      1,                 1.5958,                 2.2875,                 1.7743,                0.18519,                0.33526,                0.12444,                   0.05,                 2.1022,                 5.0673,                 2.7873,              0.0013112,              0.0013112,              0.0013112
                      2,                 1.6936,                 2.3838,                 1.9191,                0.03831,                0.21387,                0.02237,                0.00713,                  2.554,                 11.903,                 3.6615,              0.0019486,              0.0019486,              0.0019486
                      3,                 1.7589,                  2.351,                 1.9585,                0.04514,                0.25241,                0.02932,                0.00929,                 2.4091,                 9.6243,                 2.6955,               0.001934,               0.001934,               0.001934
                      4,                 1.7014,                 2.4276,                 1.8924,                0.05055,                0.19653,                0.03022,                 0.0114,                 2.4291,                 4.9556,                 2.8955,               0.001934,               0.001934,               0.001934
                      5,                 1.6354,                 2.1885,                 1.8567,                0.34102,                0.19846,                0.16985,                0.07181,                 2.1102,                 2.9933,                 2.3967,               0.001912,               0.001912,               0.001912
                      6,                 1.6325,                 2.1936,                 1.8151,                0.26513,                0.35244,                0.21728,                0.10009,                 1.9378,                 2.5509,                 2.1274,                0.00189,                0.00189,                0.00189
                      7,                 1.6086,                  2.107,                 1.8107,                0.31874,                0.32453,                0.24773,                0.11981,                 1.9992,                 2.9829,                  2.348,               0.001868,               0.001868,               0.001868
                      8,                 1.5659,                 2.1628,                 1.7756,                0.42819,                0.29287,                0.27115,                0.12925,                 1.9607,                 2.4093,                  2.167,               0.001846,               0.001846,               0.001846
                      9,                 1.5889,                 2.1768,                 1.7867,                0.35628,                0.35453,                0.27639,                 0.1347,                 1.8909,                 2.4444,                 2.1649,               0.001824,               0.001824,               0.001824
                     10,                 1.4821,                 2.0493,                 1.7084,                0.34724,                0.38744,                0.28105,                0.13352,                 1.8781,                   2.29,                 2.1062,               0.001802,               0.001802,               0.001802
                     11,                 1.4652,                 2.0665,                 1.6739,                0.41105,                0.34682,                  0.324,                0.15302,                 1.9451,                  2.275,                 2.1494,                0.00178,                0.00178,                0.00178
                     12,                 1.4229,                  1.905,                 1.6407,                0.54479,                0.33333,                0.40195,                0.20916,                 1.7644,                  2.135,                 1.9635,               0.001758,               0.001758,               0.001758
                     13,                 1.4041,                 1.9022,                 1.6497,                0.45455,                0.34875,                0.36641,                0.19852,                 1.8009,                 2.1217,                 2.0965,               0.001736,               0.001736,               0.001736
                     14,                 1.3665,                 1.8407,                 1.5853,                0.49454,                0.35645,                0.36771,                0.18885,                 1.7575,                 2.1989,                 2.0002,               0.001714,               0.001714,               0.001714
                     15,                 1.3267,                  1.774,                 1.5702,                0.53975,                0.42582,                0.46325,                 0.2537,                 1.8242,                 2.0824,                  1.954,               0.001692,               0.001692,               0.001692
                     16,                 1.3172,                 1.7469,                 1.5578,                0.53294,                0.46628,                0.44051,                0.22628,                 1.6868,                 2.0343,                 1.8724,                0.00167,                0.00167,                0.00167
                     17,                 1.3044,                 1.7215,                 1.5534,                 0.5477,                0.44701,                0.45173,                 0.2439,                 1.7086,                 1.9615,                 1.8719,               0.001648,               0.001648,               0.001648
                     18,                  1.307,                 1.7008,                 1.5322,                0.53737,                0.44894,                 0.4721,                0.27449,                 1.6363,                  1.828,                 1.8067,               0.001626,               0.001626,               0.001626
                     19,                 1.2581,                 1.6757,                 1.5162,                0.56666,                 0.4605,                0.45829,                0.25477,                 1.6839,                 1.9601,                 1.9009,               0.001604,               0.001604,               0.001604
                     20,                 1.2436,                 1.6195,                 1.4867,                0.56282,                0.50867,                0.50926,                0.27496,                 1.6873,                 1.8172,                  1.871,               0.001582,               0.001582,               0.001582
                     21,                 1.2343,                 1.6151,                 1.4838,                0.58249,                0.46243,                0.50464,                0.28024,                 1.6769,                  1.886,                 1.8733,                0.00156,                0.00156,                0.00156
                     22,                 1.2031,                 1.6527,                 1.4536,                0.54109,                0.45857,                0.48425,                0.26789,                  1.639,                 1.7942,                 1.7985,               0.001538,               0.001538,               0.001538
                     23,                 1.2112,                 1.5163,                 1.4512,                0.58455,                0.50867,                0.53726,                0.29344,                 1.6302,                   1.69,                 1.7881,               0.001516,               0.001516,               0.001516
                     24,                 1.2318,                  1.621,                 1.4834,                0.61272,                0.47977,                 0.5146,                0.29091,                 1.6049,                 1.7978,                 1.7955,               0.001494,               0.001494,               0.001494
                     25,                  1.168,                 1.4805,                 1.4257,                0.60982,                0.50674,                0.53776,                0.29672,                 1.6075,                 1.7882,                 1.7547,               0.001472,               0.001472,               0.001472
                     26,                 1.1969,                 1.4815,                 1.4419,                0.64623,                0.49518,                0.56174,                0.32247,                 1.5881,                 1.6705,                 1.7765,                0.00145,                0.00145,                0.00145
                     27,                 1.1198,                 1.4447,                 1.3864,                 0.6062,                0.55106,                 0.5691,                0.32105,                 1.5499,                   1.66,                 1.7113,               0.001428,               0.001428,               0.001428
                     28,                 1.1821,                 1.5185,                 1.4429,                0.64412,                0.49133,                 0.5582,                0.30786,                 1.6152,                 1.6343,                 1.7866,               0.001406,               0.001406,               0.001406
                     29,                 1.1685,                 1.3932,                 1.4187,                0.60904,                0.51328,                0.53767,                0.29286,                 1.5855,                 1.6625,                 1.7818,               0.001384,               0.001384,               0.001384
                     30,                 1.1181,                 1.3445,                 1.4064,                 0.6156,                0.51839,                 0.5439,                0.31206,                 1.5913,                 1.6522,                  1.774,               0.001362,               0.001362,               0.001362
                     31,                 1.0815,                 1.3303,                 1.3682,                0.70007,                0.49022,                0.58256,                0.33332,                 1.5781,                 1.6213,                   1.77,                0.00134,                0.00134,                0.00134
                     32,                 1.1271,                  1.363,                 1.4119,                0.60604,                0.46821,                0.50167,                0.25191,                 1.6313,                  1.681,                 1.7746,               0.001318,               0.001318,               0.001318
