                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3553,                 1.7409,                 1.7534,                0.53247,                0.38486,                  0.373,                0.17546,                 2.2044,                 2.3517,                 2.7476,               0.001274,               0.001274,               0.001274
                     35,                 1.3483,                  1.666,                 1.7587,                0.46255,                 0.3612,                0.33671,                0.14704,                 2.3476,                 2.4613,                 2.9525,               0.001252,               0.001252,               0.001252
                     36,                 1.3773,                 1.7407,                 1.7623,                0.50062,                0.38486,                0.38146,                0.17487,                 2.1402,                 2.3892,                    2.6,                0.00123,                0.00123,                0.00123
                     37,                 1.3342,                 1.7053,                 1.7329,                0.46365,                0.38013,                0.36139,                0.14866,                 2.2167,                 2.5089,                 2.6508,               0.001208,               0.001208,               0.001208
                     38,                 1.3206,                 1.6915,                 1.7214,                0.51598,                0.43849,                0.39496,                0.17802,                 2.1776,                 2.4185,                 2.7447,               0.001186,               0.001186,               0.001186
                     39,                 1.3252,                 1.6775,                 1.7319,                0.52775,                0.40541,                0.38948,                0.18225,                 2.1969,                 2.3066,                 2.7143,               0.001164,               0.001164,               0.001164
                     40,                 1.3272,                 1.6847,                 1.7216,                0.48783,                0.39748,                0.39042,                0.18237,                 2.1525,                  2.349,                  2.632,               0.001142,               0.001142,               0.001142
                     41,                  1.283,                 1.6229,                 1.6816,                 0.4896,                0.38801,                0.38387,                0.17299,                 2.1715,                 2.3405,                 2.6206,                0.00112,                0.00112,                0.00112
                     42,                 1.3341,                 1.6193,                 1.7073,                0.54719,                0.39274,                0.40347,                0.18585,                 2.1464,                 2.3393,                 2.6436,               0.001098,               0.001098,               0.001098
                     43,                 1.3143,                 1.6063,                 1.7293,                0.54173,                0.43375,                0.43326,                 0.2064,                 2.1518,                 2.2813,                 2.6017,               0.001076,               0.001076,               0.001076
                     44,                 1.3224,                 1.5985,                 1.7077,                0.55328,                0.43849,                0.42498,                0.19117,                 2.1734,                  2.355,                 2.7326,               0.001054,               0.001054,               0.001054
                     45,                 1.3279,                 1.6366,                 1.7219,                0.47785,                0.38013,                0.36082,                0.15596,                 2.3566,                 2.3979,                 2.8244,               0.001032,               0.001032,               0.001032
                     46,                 1.2904,                 1.5826,                 1.6905,                0.52577,                0.40694,                0.42675,                0.18571,                 2.1471,                 2.3216,                 2.5574,                0.00101,                0.00101,                0.00101
                     47,                 1.2899,                 1.5491,                 1.6884,                0.55702,                0.44006,                0.42656,                0.19813,                 2.1537,                 2.3105,                 2.5826,               0.000988,               0.000988,               0.000988
                     48,                 1.2926,                 1.5553,                 1.6772,                0.53206,                0.46449,                0.39816,                0.19343,                 2.1167,                 2.3171,                 2.5908,               0.000966,               0.000966,               0.000966
                     49,                 1.3003,                 1.5937,                 1.7011,                0.51945,                0.40536,                 0.4049,                0.19639,                 2.0977,                 2.3514,                 2.6053,               0.000944,               0.000944,               0.000944
                     50,                 1.2687,                 1.5567,                 1.6713,                0.49683,                0.42206,                0.39454,                0.16819,                 2.2982,                 2.3717,                 2.7173,               0.000922,               0.000922,               0.000922
                     51,                 1.2903,                 1.5313,                  1.693,                0.51947,                0.44006,                0.44394,                 0.2149,                 2.0762,                 2.2813,                  2.497,                 0.0009,                 0.0009,                 0.0009
                     52,                 1.2423,                 1.4779,                 1.6433,                0.54575,                0.45101,                0.45188,                0.21877,                 2.1497,                 2.2847,                 2.6009,               0.000878,               0.000878,               0.000878
                     53,                 1.2735,                 1.4962,                  1.661,                0.48725,                0.44953,                0.42918,                0.20854,                 2.1162,                  2.323,                 2.5715,               0.000856,               0.000856,               0.000856
                     54,                 1.2495,                 1.5007,                 1.6468,                0.49913,                0.40379,                 0.3533,                0.16295,                 2.2186,                 2.3842,                 2.7645,               0.000834,               0.000834,               0.000834
                     55,                  1.234,                  1.429,                 1.6326,                0.55537,                0.46845,                0.46764,                0.22684,                 2.1031,                 2.1645,                 2.5333,               0.000812,               0.000812,               0.000812
                     56,                 1.1947,                 1.4241,                 1.6071,                0.54958,                0.47792,                0.45893,                0.22752,                 2.1102,                 2.2286,                 2.6111,                0.00079,                0.00079,                0.00079
                     57,                 1.2282,                 1.4078,                 1.6228,                0.52395,                0.49369,                0.46567,                0.23678,                 2.0231,                 2.3026,                 2.4927,               0.000768,               0.000768,               0.000768
                     58,                 1.2161,                 1.3947,                 1.6333,                0.52477,                0.44637,                0.45165,                0.22125,                 2.1471,                 2.2002,                  2.562,               0.000746,               0.000746,               0.000746
                     59,                 1.2024,                 1.4068,                 1.6147,                 0.5801,                0.43218,                 0.4637,                 0.2256,                 2.1615,                 2.1984,                 2.6191,               0.000724,               0.000724,               0.000724
                     60,                 1.2178,                 1.4315,                 1.6187,                0.56964,                0.48854,                0.47442,                0.24218,                 2.0331,                  2.058,                 2.5158,               0.000702,               0.000702,               0.000702
                     61,                 1.2146,                 1.3991,                 1.6297,                0.55514,                0.45584,                0.45213,                0.22796,                 2.1807,                 2.2016,                 2.7157,                0.00068,                0.00068,                0.00068
                     62,                  1.186,                 1.4213,                 1.6055,                 0.5692,                0.44637,                0.46909,                0.22953,                 2.0617,                 2.1514,                 2.5492,               0.000658,               0.000658,               0.000658
                     63,                 1.2061,                 1.3928,                 1.6035,                0.52924,                0.45268,                0.43576,                 0.2002,                 2.2071,                 2.2238,                 2.6519,               0.000636,               0.000636,               0.000636
                     64,                   1.21,                 1.4008,                 1.6043,                0.63495,                0.48107,                0.49892,                0.23049,                 2.1492,                 2.1504,                 2.5931,               0.000614,               0.000614,               0.000614
                     65,                 1.1465,                 1.3677,                 1.5771,                0.59644,                0.45457,                0.48378,                 0.2299,                 2.1899,                 2.2096,                 2.6279,               0.000592,               0.000592,               0.000592
                     66,                 1.2145,                 1.3826,                 1.6084,                0.56349,                0.48459,                0.46482,                0.23907,                 2.1016,                 2.2178,                 2.6387,                0.00057,                0.00057,                0.00057
                     67,                  1.154,                 1.3276,                 1.5651,                0.61064,                0.48423,                0.50492,                0.25215,                 2.0787,                 2.1459,                  2.537,               0.000548,               0.000548,               0.000548
                     68,                 1.1685,                 1.3641,                  1.578,                0.59313,                0.45584,                0.47899,                0.23869,                 2.0831,                 2.2513,                 2.5315,               0.000526,               0.000526,               0.000526
                     69,                 1.1415,                  1.317,                 1.5867,                0.56552,                0.49369,                 0.4743,                0.23414,                 2.1068,                  2.183,                 2.5484,               0.000504,               0.000504,               0.000504
                     70,                 1.1342,                 1.2965,                 1.5515,                0.59672,                0.47161,                0.47738,                0.23841,                 2.0882,                 2.1509,                 2.5706,               0.000482,               0.000482,               0.000482
                     71,                 1.1602,                 1.3341,                 1.5853,                0.57923,                0.51735,                 0.4848,                0.23725,                 2.0727,                 2.1256,                 2.5059,                0.00046,                0.00046,                0.00046
                     72,                 1.1402,                 1.2796,                 1.5451,                0.61296,                0.50789,                0.51157,                0.25381,                 2.1139,                 2.0772,                 2.5672,               0.000438,               0.000438,               0.000438
                     73,                 1.1334,                 1.2654,                 1.5438,                0.61445,                0.48896,                0.50749,                0.24471,                 2.1069,                 2.1311,                 2.5156,               0.000416,               0.000416,               0.000416
                     74,                 1.1009,                 1.2323,                 1.5141,                0.64986,                0.47319,                0.51884,                0.26687,                 2.0999,                 2.0762,                 2.5368,               0.000394,               0.000394,               0.000394
                     75,                 1.1266,                 1.2645,                 1.5359,                 0.6507,                 0.4795,                0.51882,                0.27538,                 2.0708,                  2.084,                 2.5305,               0.000372,               0.000372,               0.000372
                     76,                 1.1104,                 1.2874,                 1.5462,                0.63604,                 0.4858,                0.49617,                0.25453,                 2.1286,                 2.1957,                 2.5768,                0.00035,                0.00035,                0.00035
                     77,                  1.102,                 1.2592,                 1.5237,                0.61736,                0.49211,                0.51504,                0.25723,                 2.1346,                 2.1073,                 2.6006,               0.000328,               0.000328,               0.000328
                     78,                 1.0804,                 1.1744,                 1.5061,                0.63276,                 0.4795,                0.51246,                0.27384,                 2.0844,                 2.1612,                 2.5783,               0.000306,               0.000306,               0.000306
                     79,                 1.1103,                 1.1771,                 1.5214,                0.63448,                0.48896,                0.50911,                0.25693,                 2.1248,                 2.1802,                 2.5918,               0.000284,               0.000284,               0.000284
                     80,                 1.0734,                 1.1207,                  1.646,                0.59578,                0.50447,                0.52052,                0.27112,                  2.085,                 2.1282,                 2.5412,               0.000262,               0.000262,               0.000262
                     81,                 1.0912,                 1.0511,                 1.6777,                0.58467,                0.50403,                0.50982,                0.27115,                 2.0554,                 2.1144,                 2.5759,                0.00024,                0.00024,                0.00024
                     82,                  1.054,                 1.0482,                 1.6265,                0.61183,                0.53628,                0.53763,                 0.2787,                 2.0688,                 2.1069,                 2.5523,               0.000218,               0.000218,               0.000218
                     83,                 1.0193,                0.98446,                 1.6109,                0.63912,                0.48265,                0.52326,                0.27678,                 2.0661,                  2.072,                 2.5611,               0.000196,               0.000196,               0.000196
                     84,                  1.034,                0.98451,                 1.6056,                0.60313,                0.54259,                0.54554,                0.28201,                 2.0262,                 2.0315,                 2.4665,               0.000174,               0.000174,               0.000174
                     85,                0.97652,                0.96212,                 1.5857,                0.63104,                0.53683,                0.54783,                0.29326,                 2.0311,                 2.0347,                 2.5116,               0.000152,               0.000152,               0.000152
                     86,                 1.0011,                0.94484,                 1.5944,                0.61544,                0.50946,                 0.5283,                0.28441,                 2.0337,                 2.0738,                 2.5276,                0.00013,                0.00013,                0.00013
                     87,                0.96111,                 0.9287,                 1.5561,                 0.6178,                0.51501,                0.52779,                0.27646,                 2.0571,                 2.1021,                 2.5252,               0.000108,               0.000108,               0.000108
                     88,                0.96485,                0.89934,                 1.5246,                0.65543,                0.48896,                0.52197,                0.27819,                  2.036,                 2.1167,                 2.5286,                8.6e-05,                8.6e-05,                8.6e-05
                     89,                0.97395,                0.90979,                  1.559,                0.66535,                0.50803,                0.53722,                0.28616,                 2.0333,                 2.1019,                 2.4992,                6.4e-05,                6.4e-05,                6.4e-05
